,docket,term,quest_total,word_total,jquest_p,jquest_r,jwords_p,jwords_r,NYT,UnanVote,CloseVote,votes_total,dec_type,led,analu,fulldocket,us,sct,rec,party_1,party_2,lctdir,chief,natct,issue,value,dir,dis,win,vote,stwtdir,mardir,brndir,bwdir,jackdir,blkmdir,powdir,rehndir,stevdir,ocondir,scaldir,kendir,soutdir,thomdir,gindir,brydir,robtdir,altodir,stwtm,marm,brnm,bwm,burgm,blkmm,powm,rehnm,stevm,oconm,scalm,kenm,soutm,thomm,ginm,brym,robtm,altom,moa,win_oconnor,win_rehnquist,petac,respac,otherac,totalac,sgpet,sgresp,sgpetac,sgrespac,sgotherac,sgamicus,liberalac,conservac,sglibparty,sgconparty,sglibac,sgconac,no_cases,more_words,more_quest,WPerQR,WPerQP,USParty1,USParty2,civlib,economics,judpower,federalism,logno_cases,logquest_total,logword_total,Dummy94,term1979,term1980,term1981,term1982,term1983,term1984,term1985,term1986,term1987,term1988,term1989,term1990,term1991,term1992,term1993,term1994,term1995,term1996,term1997,term1998,term1999,term2000,term2001,term2002,term2003,term2004,term2005,term2006,term2007,counter,MQ,_Ilctdir_1,_IlctXMQ_1,OtherVote,USParty,log_quest_total,log_word_total,win_stevens,win_ginsburg,win_souter,win_breyer,win_kennedy,win_alito,win_roberts,win_scalia,win_thomas
11,78-738,1979,195,3446,98,97,1504,1942,0. no,0. no,0. no,9,1. orally argued signed opinion,062/0332,0. case citation,No. 78-738,444/0164,100/0383,0,O,US,1. liberal,2. burger,BURG6,507,4. due process,0. conservative,2. reversed,Petitioner Wins,63,0. conservative,1. liberal,1. liberal,0. conservative,NA,1. liberal,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,0. dissent,0. dissent,1. majority,1. majority,0. dissent,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,1,0,0,1,0,1,0,0,0,0,0,1,Yes,No,No,No,92,1. respondent more words,0,20.02061844,15.34693909,0. no,1. yes,1. yes,0. no,0. no,0. no,4.521788597,5.272999763,8.144968987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,1,1. yes,5.272999763,8.144968987,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
12,78-1888,1979,59,1158,38,21,686,472,0. no,1. yes,0. no,9,1. orally argued signed opinion,065/0653,0. case citation,No. 78-1888,448/0122,100/2570,0,CT,POOR,1. liberal,2. burger,BURG6,542,6. attorneys,1. liberal,1. affirmed,Respondent Wins,90,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,92,0. petitioner more words,0,22.47619057,18.05263138,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.077537537,7.054449558,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,0,0. no,4.077537537,7.054449558,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
13,79-243,1979,161,2713,89,72,1585,1128,1. yes,0. no,0. no,8,7. judgment of the court,065/0973,0. case citation,No. 79-243,448/0555,100/2814,0,NEWS,VA,0. conservative,2. burger,BURG6,401,3. first amendment,1. liberal,2. reversed,Petitioner Wins,71,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,NA,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,5,0,0,5,0,0,0,0,0,0,5,0,No,No,No,No,92,0. petitioner more words,0,15.66666698,17.80898857,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,5.081404209,7.905810356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,0. no,5.081404209,7.905810356,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
14,79-116,1979,147,2299,115,32,1926,373,0. no,0. no,0. no,9,7. judgment of the court,065/0757,0. case citation,No. 79-116,448/0261,100/2647,0,EE,ER,0. conservative,2. burger,BURG6,615,8. economic activity,1. liberal,2. reversed,Petitioner Wins,72,1. liberal,0. conservative,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,0,0,0,0,0,1,0,0,0,0,0,0,No,Yes,No,No,92,0. petitioner more words,0,11.65625,16.74782562,0. no,0. no,0. no,1. yes,0. no,0. no,4.521788597,4.990432739,7.740229607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,0. no,4.990432739,7.740229607,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
15,79-565,1979,80,1650,38,42,802,848,1. yes,0. no,0. no,9,1. orally argued signed opinion,065/0341,0. case citation,No. 79-565,447/0557,100/2343,0,ELEC PU,NY COMN,0. conservative,2. burger,BURG6,411,3. first amendment,1. liberal,2. reversed,Petitioner Wins,81,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,4,0,0,4,0,0,0,0,0,0,4,0,No,No,No,No,92,1. respondent more words,1,20.19047546,21.10526276,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.382026672,7.408530712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,0. no,4.382026672,7.408530712,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
16,78-253,1979,132,2784,45,87,703,2081,0. no,0. no,1. yes,8,6. orally argued per curiam,062/0626,0. case citation,"No. 78-253, No. 78-282, No. 78-283",444/0437,100/0716,0,TXSCHDIS,RAMI,0. conservative,2. burger,BURG6,751,9. judicial power,0. conservative,8. petition denied or appeal dismissed,Respondent Wins,53,1. liberal,NA,0. conservative,0. conservative,NA,0. conservative,1. liberal,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,NA,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,1,1,0,2,0,0,0,1,0,1,1,1,No,No,No,Yes,92,1. respondent more words,1,23.91954041,15.62222195,0. no,0. no,0. no,0. no,1. yes,0. no,4.521788597,4.88280201,7.931643963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,0. no,4.88280201,7.931643963,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
17,78-1557,1979,60,1243,30,30,656,587,0. no,0. no,1. yes,9,1. orally argued signed opinion,064/0354,0. case citation,No. 78-1557,446/0359,100/1723,0,ER,GOVT COR,1. liberal,2. burger,BURG6,621,8. economic activity,1. liberal,1. affirmed,Respondent Wins,54,0. conservative,1. liberal,1. liberal,0. conservative,NA,1. liberal,0. conservative,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,1. majority,1. majority,0. dissent,1. majority,1. majority,0. dissent,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,1,1,0,2,0,0,0,0,0,0,1,1,No,No,No,No,92,0. petitioner more words,9,19.56666756,21.86666679,0. no,0. no,0. no,1. yes,0. no,0. no,4.521788597,4.094344616,7.125283241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,0,0. no,4.094344616,7.125283241,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
18,78-1918,1979,89,1986,52,37,1295,691,0. no,0. no,0. no,9,1. orally argued signed opinion,064/0525,0. case citation,No. 78-1918,446/0578,100/1889,0,EPA,CHEM CO,0. conservative,2. burger,BURG6,638,8. economic activity,1. liberal,3. reversed and remanded,Petitioner Wins,72,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,0,0,0,0,1,0,0,0,0,0,0,0,Yes,No,No,No,92,0. petitioner more words,0,18.67567635,24.90384674,1. yes,0. no,0. no,1. yes,0. no,0. no,4.521788597,4.488636494,7.593877792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,1. yes,4.488636494,7.593877792,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
19,78-6386,1979,135,2521,73,62,1280,1241,0. no,0. no,1. yes,9,1. orally argued signed opinion,063/0382,0. case citation,No. 78-6386,445/0263,100/1133,0,CC,TX,0. conservative,2. burger,BURG6,41,1. criminal procedure,0. conservative,1. affirmed,Respondent Wins,54,0. conservative,1. liberal,1. liberal,0. conservative,NA,0. conservative,1. liberal,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,0. dissent,0. dissent,1. majority,1. majority,1. majority,0. dissent,1. majority,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,0,2,0,2,0,0,0,0,0,0,0,2,No,No,No,No,92,0. petitioner more words,0,20.01612854,17.53424644,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.905274868,7.832410812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,0. no,4.905274868,7.832410812,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
20,79-48,1979,108,1658,58,50,853,805,0. no,1. yes,0. no,9,1. orally argued signed opinion,064/0548,0. case citation,No. 79-48,446/0608,100/1905,0,DOI,KOR,0. conservative,2. burger,BURG6,293,2. civil rights,0. conservative,1. affirmed,Respondent Wins,90,0. conservative,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,1,0,0,1,1,0,0,0,0,0,1,0,Yes,No,No,No,92,0. petitioner more words,0,16.10000038,14.70689678,1. yes,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.68213129,7.413367271,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,1. yes,4.68213129,7.413367271,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
21,78-1268,1979,95,2218,60,35,1262,956,0. no,1. yes,0. no,9,1. orally argued signed opinion,062/0481,0. case citation,No. 78-1268,444/0277,100/0553,0,PIP,CA,0. conservative,2. burger,BURG6,391,2. civil rights,0. conservative,1. affirmed,Respondent Wins,90,0. conservative,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,2,3,0,5,0,0,0,1,0,1,2,3,No,No,No,Yes,92,0. petitioner more words,0,27.31428528,21.03333282,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.553876877,7.704360962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,0. no,4.553876877,7.704360962,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
22,78-1175,1979,88,1889,46,42,1006,883,0. no,0. no,0. no,9,6. orally argued per curiam,062/0614,0. case citation,No. 78-1175,444/0460,100/0647,0,O,US,0. conservative,2. burger,BURG6,616,8. economic activity,1. liberal,4. vacated and remanded,Petitioner Wins,81,1. liberal,1. liberal,1. liberal,1. liberal,NA,0. conservative,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,0,0,0,0,0,1,0,0,0,0,0,0,No,Yes,No,No,92,0. petitioner more words,0,21.02380943,21.86956596,0. no,1. yes,0. no,1. yes,0. no,0. no,4.521788597,4.477336884,7.543802738,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,1. yes,4.477336884,7.543802738,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
23,77-6219,1979,66,1198,42,24,752,446,0. no,0. no,1. yes,9,6. orally argued per curiam,064/0169,0. case citation,No. 77-6219,446/0222,100/1585,0,POOR D,IL,0. conservative,2. burger,BURG6,30,1. criminal procedure,1. liberal,3. reversed and remanded,Petitioner Wins,54,1. liberal,1. liberal,1. liberal,0. conservative,NA,1. liberal,0. conservative,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,0. dissent,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRN,NA,0. Respondent,0,1,0,1,0,0,0,1,0,1,0,1,No,No,No,Yes,92,0. petitioner more words,0,18.58333397,17.90476227,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.189654827,7.088408947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,0. no,4.189654827,7.088408947,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
